As Of Date,Complaint Id,Tax ID,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
11/25/2023,202103096,936581,Substantiated (Formalized Training),Substantiated (Formalized Training),11/28/2022,No,,,,,,Formalized Training
11/25/2023,201507054,945216,Substantiated (Formalized Training),,06/28/2016,No,,,,,,Instructions
11/25/2023,200901627,938113,Substantiated (Charges),,07/28/2010,No,,,,,,Command Discipline - B
11/25/2023,200614807,938616,Substantiated (Charges),,,No,,,,,,
11/25/2023,200503616,920661,Substantiated (Command Discipline),,09/28/2006,No,,,,,,Instructions
11/25/2023,201104522,949704,Substantiated (Charges),,10/28/2012,No,,,,,,Command Discipline - B
11/25/2023,200400539,888641,Substantiated (Charges),,12/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201900058,954679,Substantiated (Formalized Training),,06/28/2020,No,,,,,,Instructions
11/25/2023,202206451,967473,Substantiated (Command Discipline B),Substantiated (Command Discipline B),,No,,,,,,
11/25/2023,201507317,953080,Substantiated (Command Discipline A),,07/28/2016,No,,,,,,Command Discipline - A
11/25/2023,201901938,941136,Substantiated (Command Discipline A),,01/28/2021,No,,,,,,Closed Administratively (No penalty reported)
11/25/2023,200007761,899338,Substantiated (Charges),,,No,,,,,,
11/25/2023,202006659,956618,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,Command Discipline B 10 days,Closed: Resolved by plea,10/02/2023,Forfeit vacation 10 days / Command Discipline B
11/25/2023,201214529,936788,Substantiated (Instructions),,04/28/2014,No,,,,,,Instructions
11/25/2023,202100050,938062,Substantiated (Command Discipline A),Substantiated (Command Discipline A),06/28/2022,No,,,,,,Command Discipline - A
11/25/2023,202006174,961320,Substantiated (Command Discipline A),Substantiated (Command Discipline A),05/28/2022,No,,,,,,No penalty
11/25/2023,200717883,899573,Substantiated (Command Discipline),,05/28/2009,No,,,,,,Instructions
11/25/2023,201708379,943353,Substantiated (Command Discipline A),,04/28/2019,No,,,,,,No penalty
11/25/2023,201701245,924477,Substantiated (Command Discipline B),,02/28/2018,No,,,,,,Formalized Training
11/25/2023,200912708,938828,Substantiated (Command Discipline),,02/28/2011,No,,,,,,Instructions
11/25/2023,201701370,944428,Substantiated (Command Discipline B),,04/28/2018,No,,,,,,Command Discipline - B
11/25/2023,202005168,880208,Substantiated (Charges),Substantiated (Charges),,Yes,Command Discipline A 3 days,Forfeit vacation 6 days,,Closed: Not guilty after trial,09/22/2023,
11/25/2023,200603613,921212,Substantiated (Charges),,09/28/2007,No,,,,,,
11/25/2023,201406519,940320,Substantiated (Command Discipline B),,12/28/2015,No,,,,,,Command Discipline - A
11/25/2023,200608014,921890,Substantiated (Charges),,12/28/2006,No,,,,,,Instructions
11/25/2023,202002487,949175,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,"Closed: Previously adjudicated, with discipline",06/07/2021,Forfeit vacation 1 days
11/25/2023,202200212,949423,Substantiated (Command Discipline B),Substantiated (Command Discipline B),05/28/2023,No,,,,,,No penalty
11/25/2023,200204399,882565,Substantiated (Charges),,11/28/2003,No,,,,,,Instructions
11/25/2023,202002901,961434,Substantiated (Command Discipline A),Substantiated (Formalized Training),04/28/2023,No,,,,,,No penalty
11/25/2023,201306200,937408,Substantiated (Charges),,,Yes,Forfeit vacation 8 days,Forfeit vacation 10 days,,Closed: Guilty after trial,03/11/2016,Forfeit vacation 10 days
11/25/2023,201211620,925006,Substantiated (Charges),,,Yes,,,Forfeit vacation 5 days,Closed: Resolved by plea,01/29/2015,Forfeit vacation 5 days
11/25/2023,201704914,948429,Substantiated (Command Lvl Instructions),,12/28/2018,No,,,,,,Formalized Training
11/25/2023,201907896,937958,Substantiated (Charges),Substantiated (Charges),,Yes,,,Forfeit vacation 6 days,Closed: Plea Renegotiated by PC,06/01/2023,Forfeit vacation 10 days
11/25/2023,200410938,926339,Substantiated (Charges),,04/28/2006,No,,,,,,Resigned
11/25/2023,202003306,943025,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2022,No,,,,,,No penalty
11/25/2023,200915588,947985,Substantiated (Charges),,04/28/2011,No,,,,,,Command Discipline - B
11/25/2023,200007314,904063,Substantiated (Command Discipline),,,No,,,,,,
11/25/2023,201609591,940682,Substantiated (Command Lvl Instructions),,04/28/2018,No,,,,,,Formalized Training
11/25/2023,201412492,905302,Substantiated (Command Discipline A),,03/28/2016,No,,,,,,Command Discipline - A
11/25/2023,201604395,953063,Substantiated (Command Discipline B),,06/28/2017,No,,,,,,No penalty
11/25/2023,201212404,925131,Substantiated (Charges),,,Yes,Forfeit vacation 8 days,Forfeit vacation 5 days,,Closed: Guilty after trial,01/07/2016,Forfeit vacation 5 days
11/25/2023,201507492,951309,Substantiated (Formalized Training),,09/28/2016,No,,,,,,Formalized Training
11/25/2023,200600952,937263,Substantiated (Charges),,07/28/2007,No,,,,,,No penalty
11/25/2023,200008810,877148,Substantiated (Charges),,,No,,,,,,
11/25/2023,200400893,920663,Substantiated (Charges),,07/28/2006,No,,,,,,No penalty
11/25/2023,201500673,952366,Substantiated (Formalized Training),,07/28/2016,No,,,,,,Formalized Training
11/25/2023,200300872,922593,Substantiated (Charges),,07/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201407041,936344,Substantiated (Charges),,,Yes,Forfeit vacation 30 days,Forfeit vacation 20 days,,Closed: Guilty after trial,01/26/2017,Forfeit vacation 20 days
11/25/2023,201014101,939841,Substantiated (Charges),,04/28/2012,No,,,,,,No penalty
11/25/2023,200107711,909162,Substantiated (Charges),,02/28/2003,No,,,,,,Instructions
11/25/2023,201411625,903799,Substantiated (Command Discipline A),,04/28/2016,No,,,,,,Command Discipline - A
11/25/2023,200302150,890871,Substantiated (Charges),,09/28/2005,No,,,,,,No penalty
11/25/2023,200107541,889216,Substantiated (Command Discipline),,04/28/2003,No,,,,,,Command Discipline - A
11/25/2023,200310204,918001,Substantiated (Charges),,05/28/2005,No,,,,,,Instructions
11/25/2023,200608440,932076,Substantiated (Charges),,12/28/2007,No,,,,,,No penalty
11/25/2023,200404916,918999,Substantiated (Charges),,07/28/2005,No,,,,,,Instructions
11/25/2023,202105153,930713,Substantiated (Command Discipline B),Substantiated (Command Discipline B),01/28/2023,No,,,,,,Command Discipline - B (Vacation: 5 days)
11/25/2023,202001985,945447,Substantiated (Command Discipline A),Substantiated (Command Discipline A),07/28/2022,No,,,,,,No penalty
11/25/2023,201701838,954084,Substantiated (Charges),,,Yes,,,Forfeit vacation 4 days,Closed: Resolved by plea,09/17/2019,Forfeit vacation 4 days
11/25/2023,200202047,903137,Substantiated (Command Discipline),,03/28/2003,No,,,,,,Command Discipline - B
11/25/2023,201311369,941907,Substantiated (Charges),,,Yes,,,Forfeit vacation 10 days,Closed: Resolved by plea,06/21/2016,Forfeit vacation 10 days
11/25/2023,201303865,942297,Substantiated (Charges),,,Yes,Forfeit vacation 8 days,Forfeit vacation 8 days,,Closed: Guilty after trial,09/20/2016,Forfeit vacation 8 days
11/25/2023,201102636,944308,Substantiated (Command Discipline),,08/28/2012,No,,,,,,Instructions
11/25/2023,202100606,964169,Substantiated (Charges),Substantiated (Charges),,Yes,,,Forfeit vacation 40 days,"Closed: Plea set aside, Comm. Disc. B",10/19/2023,Forfeit vacation 10 days
11/25/2023,200302571,902888,Substantiated (Charges),,09/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201200783,949522,Substantiated (Charges),,06/28/2013,No,,,,,,No penalty
11/25/2023,200204460,924050,Substantiated (Command Discipline),,04/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201502876,925280,Substantiated (Charges),,,Yes,,,Forfeit vacation 20 days,Closed: Resolved by plea,06/27/2016,Forfeit vacation 20 days
11/25/2023,201601216,949663,Substantiated (Command Discipline B),,08/28/2017,No,,,,,,Command Discipline - A
11/25/2023,201506894,950955,Substantiated (Command Discipline A),,,No,,,,,,
11/25/2023,202003614,946110,Substantiated (Command Discipline A),Substantiated (Command Discipline A),07/28/2022,No,,,,,,No penalty
11/25/2023,201808743,963634,Substantiated (Charges),,,Yes,Forfeit vacation 10 days,Forfeit vacation 5 days,,Closed: Guilty after trial,09/21/2023,Forfeit vacation 10 days
11/25/2023,201601121,955099,Substantiated (Formalized Training),,08/28/2017,No,,,,,,Formalized Training
11/25/2023,200200717,910659,Substantiated (Charges),,07/28/2003,No,,,,,,Command Discipline - A
11/25/2023,202007062,963087,Substantiated (Command Discipline B),Substantiated (Command Discipline B),09/28/2022,No,,,,,,No penalty
11/25/2023,201012621,933359,Substantiated (Charges),,11/28/2010,No,,,,,,Instructions
11/25/2023,201309523,920865,Substantiated (Instructions),,04/28/2015,No,,,,,,No penalty
11/25/2023,202005679,950577,Substantiated (Charges),Substantiated (Charges),,Yes,,,Forfeit vacation 10 days,Closed: Resolved by plea,10/23/2023,Forfeit vacation 10 days / Command Discipline B
11/25/2023,201900505,959757,Substantiated (Command Lvl Instructions),,06/28/2020,No,,,,,,Instructions
11/25/2023,200304776,925408,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,201503997,938582,Substantiated (Command Discipline A),,11/28/2016,No,,,,,,Command Discipline - A
11/25/2023,202104641,949185,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201900536,940264,Substantiated (Command Lvl Instructions),,05/28/2020,No,,,,,,Instructions
11/25/2023,202103908,943313,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2022,No,,,,,,No penalty
11/25/2023,200201229,919361,Substantiated (Charges),,09/28/2004,No,,,,,,
11/25/2023,200301400,929049,Substantiated (Instructions),,10/28/2003,No,,,,,,Instructions
11/25/2023,201700336,940591,Substantiated (Charges),,,Yes,,,Forfeit vacation 7 days,Closed: Resolved by plea,06/25/2019,Forfeit vacation 7 days
11/25/2023,200400418,914479,Substantiated (Charges),,06/28/2005,No,,,,,,Instructions
11/25/2023,202103984,962666,Substantiated (Command Discipline A),Substantiated (Command Discipline A),12/28/2022,No,,,,,,No penalty
11/25/2023,202203232,965108,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202006718,934217,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Closed: Charges not served,04/22/2023,
11/25/2023,201900799,961004,Substantiated (Command Lvl Instructions),,06/28/2020,No,,,,,,Instructions
11/25/2023,202204045,966727,Substantiated (Command Discipline B),Substantiated (Command Discipline B),05/28/2023,No,,,,,,No penalty
11/25/2023,201113585,928969,Substantiated (Command Discipline),,03/28/2013,No,,,,,,No penalty
11/25/2023,201701996,950494,Substantiated (Formalized Training),,07/28/2018,No,,,,,,Formalized Training
11/25/2023,202200788,927315,Substantiated (Charges),Substantiated (Charges),,Yes,Terminated,Dismissed,,Closed: Not guilty after trial,07/10/2023,
11/25/2023,201904936,946838,Substantiated (Command Lvl Instructions),,12/28/2020,No,,,,,,Instructions
11/25/2023,202002839,959961,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2022,No,,,,,,No penalty
11/25/2023,201603275,929624,Substantiated (Formalized Training),,12/28/2016,No,,,,,,Formalized Training
11/25/2023,202204288,941438,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200404196,919958,Substantiated (Charges),,09/28/2005,No,,,,,,Instructions
11/25/2023,200302605,913983,Substantiated (Command Discipline),,04/28/2004,No,,,,,,Instructions
11/25/2023,200108096,915045,Substantiated (Charges),,03/28/2004,No,,,,,,Vacation: 5 days
11/25/2023,201602548,940403,Substantiated (Charges),,,Yes,,,,"Closed: Retained, with discipline",07/06/2018,Dismissal Probation 365 days
11/25/2023,201501315,929493,Substantiated (Command Discipline B),,,No,,,,,,
11/25/2023,202005608,964803,Substantiated (Command Discipline A),Substantiated (Command Discipline A),04/28/2022,No,,,,,,Command Discipline - A (Vacation: 0.13 days)
11/25/2023,202102984,964286,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201401452,935149,Substantiated (Command Discipline A),,08/28/2015,No,,,,,,Instructions
11/25/2023,201807479,940624,Substantiated (Formalized Training),,09/28/2019,No,,,,,,Formalized Training
11/25/2023,201608584,941566,Substantiated (Charges),,,Yes,,,,"Closed: Retained, without discipline",04/05/2018,No penalty
11/25/2023,202200449,960756,Substantiated (Command Discipline A),Substantiated (Command Discipline B),03/28/2023,No,,,,,,Command Discipline - B (Vacation: 1 day)
11/25/2023,201904736,962545,Substantiated (Formalized Training),,07/28/2020,No,,,,,,Resigned
11/25/2023,202104019,964025,Substantiated (Command Discipline B),Substantiated (Command Discipline B),10/28/2022,No,,,,,,Command Discipline - B (Vacation: 5 days)
11/25/2023,201806187,954029,Substantiated (Command Discipline B),,01/28/2020,No,,,,,,No penalty
11/25/2023,201200276,945542,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,,,Closed: Not guilty after trial,02/22/2016,
11/25/2023,202101702,933818,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,200817859,887507,Substantiated (Charges),,08/28/2010,No,,,,,,Instructions
11/25/2023,201607162,949511,Substantiated (Formalized Training),,02/28/2018,No,,,,,,No penalty
11/25/2023,200612178,936669,Substantiated (Instructions),,03/28/2008,No,,,,,,No penalty
11/25/2023,201110584,907442,Substantiated (Charges),,04/28/2013,No,,,,,,No penalty
11/25/2023,200202002,920053,Substantiated (Charges),,09/28/2004,No,,,,,,
11/25/2023,201710310,955761,Substantiated (Command Discipline B),,05/28/2019,No,,,,,,Formalized Training
11/25/2023,201808958,948132,Substantiated (Command Discipline B),,08/28/2022,No,,,,,,Formalized Training
11/25/2023,200301255,898014,Substantiated (Charges),,07/28/2004,No,,,,,,Instructions
11/25/2023,200403680,928315,Substantiated (Charges),,10/28/2006,No,,,,,,Instructions
11/25/2023,200616879,882908,Substantiated (Charges),,12/28/2009,No,,,,,,Instructions
11/25/2023,200005177,884691,Substantiated (Charges),,02/28/2003,No,,,,,,
11/25/2023,201105208,930758,Substantiated (Charges),,10/28/2012,No,,,,,,No penalty
11/25/2023,202101531,967913,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2022,No,,,,,,Command Discipline - A (Vacation: 0.25 days)
11/25/2023,202005295,940248,Substantiated (Command Discipline B),Substantiated (Command Discipline B),07/28/2022,No,,,,,,Command Discipline - B (Vacation: 8 days)
11/25/2023,201503103,938046,Substantiated (Charges),,,Yes,Forfeit vacation 10 days,Forfeit vacation 2 days,,Closed: Guilty after trial,06/08/2017,Forfeit vacation 2 days
11/25/2023,201307435,914936,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,Forfeit vacation 5 days,,Closed: Guilty after trial,10/16/2015,Forfeit vacation 5 days
11/25/2023,202106494,954968,Substantiated (Command Discipline A),Substantiated (Command Discipline B),04/28/2023,No,,,,,,Command Discipline - B (Vacation: 1 day)
11/25/2023,201607619,938331,Substantiated (Command Discipline B),,,No,,,,,,
11/25/2023,201207550,935458,Substantiated (Charges),,,Yes,Forfeit vacation 10 days,Forfeit vacation 5 days,,Closed: Guilty after trial,04/07/2015,Forfeit vacation 3 days
11/25/2023,200207281,907323,Substantiated (Charges),,07/28/2004,No,,,,,,No penalty
11/25/2023,200613062,910153,Substantiated (Charges),,12/28/2007,No,,,,,,Vacation: 30 days / Probation:
11/25/2023,202106394,938122,Substantiated (Command Discipline A),Substantiated (Command Discipline A),04/28/2023,No,,,,,,Command Discipline - A
11/25/2023,201201436,945204,Substantiated (Command Discipline),,06/28/2013,No,,,,,,Instructions
11/25/2023,200910811,929799,Substantiated (Charges),,12/28/2010,No,,,,,,Command Discipline - B
11/25/2023,200201651,906647,Substantiated (Charges),,06/28/2003,No,,,,,,Command Discipline - A
11/25/2023,201400771,936680,Substantiated (Formalized Training),,07/28/2015,No,,,,,,
11/25/2023,201602498,958308,Substantiated (Formalized Training),,08/28/2017,No,,,,,,No penalty
11/25/2023,202101750,953833,Substantiated (Command Discipline A),Substantiated (Command Discipline B),09/28/2022,No,,,,,,Command Discipline - B (Vacation: 1 day)
11/25/2023,202207428,964865,Substantiated (Command Discipline A),Substantiated (Command Discipline B),09/28/2023,No,,,,,,No penalty
11/25/2023,202203882,956011,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,201017481,941345,Substantiated (Charges),,06/28/2012,No,,,,,,Instructions
11/25/2023,200100174,916078,Substantiated (Instructions),,,No,,,,,,
11/25/2023,200604814,922204,Substantiated (Charges),,08/28/2007,No,,,,,,No penalty
11/25/2023,200902227,942525,Substantiated (Charges),,07/28/2010,No,,,,,,Instructions
11/25/2023,201301368,933599,Substantiated (Command Discipline),,05/28/2014,No,,,,,,No penalty
11/25/2023,201409442,949007,Substantiated (Charges),,,Yes,,,Forfeit vacation 9 days,Closed: Resolved by plea,12/28/2017,Forfeit vacation 3 days
11/25/2023,202106165,968390,Substantiated (Command Discipline A),Substantiated (Command Discipline A),03/28/2023,No,,,,,,Command Discipline - A
11/25/2023,201803342,952713,Substantiated (Charges),,,Yes,Forfeit vacation 5 days,Reprimand,,"Closed: Trial verdict reversed by PC, Final verdict Not Guilty",04/15/2020,
11/25/2023,201406305,936158,Substantiated (Charges),,,Yes,,,,Closed: Retired,12/10/2015,
11/25/2023,201902464,961581,Substantiated (Command Lvl Instructions),,08/28/2020,No,,,,,,Instructions
11/25/2023,201102127,946999,Substantiated (Charges),,08/28/2012,No,,,,,,Instructions
11/25/2023,200401596,921668,Substantiated (Charges),,06/28/2005,No,,,,,,Command Discipline - A
11/25/2023,201206552,922637,Substantiated (Charges),,,Yes,,,Forfeit vacation 3 days,Closed: Resolved by plea,11/10/2014,Forfeit vacation 3 days
11/25/2023,200007675,878782,Substantiated (Command Discipline),,,No,,,,,,
11/25/2023,201309187,948608,Substantiated (Charges),,,Yes,,,Forfeit vacation 8 days,Closed: Resolved by plea,07/27/2016,Forfeit vacation 8 days
11/25/2023,200612551,930196,Substantiated (Charges),,03/28/2008,No,,,,,,Command Discipline - A
11/25/2023,201700112,949647,Substantiated (Command Lvl Instructions),,05/28/2018,No,,,,,,Formalized Training
11/25/2023,201609432,918332,Substantiated (Command Discipline B),,04/28/2018,No,,,,,,No penalty
11/25/2023,202004652,961004,Substantiated (Formalized Training),Substantiated (Formalized Training),,No,,,,,,
11/25/2023,202003055,960217,Substantiated (Command Discipline A),Substantiated (Command Discipline A),07/28/2022,No,,,,,,No penalty
11/25/2023,200605688,931173,Substantiated (Instructions),,03/28/2007,No,,,,,,
11/25/2023,201804434,947270,Substantiated (Charges),,,Yes,,,Forfeit vacation 20 days,Closed: Resolved by plea,01/18/2023,Forfeit vacation 20 days
11/25/2023,201701717,933122,Substantiated (Command Discipline A),,09/28/2018,No,,,,,,Formalized Training
11/25/2023,202107719,942455,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201108046,949214,Substantiated (Charges),,12/28/2012,No,,,,,,Instructions
11/25/2023,201411074,950912,Substantiated (Charges),,,Yes,,,Forfeit vacation 2 days,Closed: Resolved by plea,03/15/2017,Forfeit vacation 2 days
11/25/2023,200206679,907099,Substantiated (Charges),,03/28/2004,No,,,,,,Command Discipline - B
11/25/2023,200310211,892910,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,200712972,932718,Substantiated (Command Discipline),,07/28/2008,No,,,,,,No penalty
11/25/2023,202200051,960838,Substantiated (Command Discipline A),Substantiated (Command Discipline B),06/28/2023,No,,,,,,Command Discipline - B (Vacation: 2 days)
11/25/2023,201400888,931192,Substantiated (Formalized Training),,07/28/2015,No,,,,,,Instructions
11/25/2023,201900625,927673,Substantiated (Command Discipline A),,07/28/2020,No,,,,,,Command Discipline - A
11/25/2023,200301729,894264,Substantiated (Charges),,02/28/2005,No,,,,,,Retired
11/25/2023,200206500,907342,Substantiated (Command Discipline),,03/28/2004,No,,,,,,Command Discipline - A
11/25/2023,201810824,959492,Substantiated (Command Discipline A),,06/28/2020,No,,,,,,Command Discipline - A
11/25/2023,201508604,949470,Substantiated (Command Discipline B),,,No,,,,,,
11/25/2023,201503659,949827,Substantiated (Formalized Training),,10/28/2016,No,,,,,,Formalized Training
11/25/2023,201106874,949214,Substantiated (Charges),,11/28/2012,No,,,,,,Instructions
11/25/2023,200710212,898342,Substantiated (Charges),,01/28/2009,No,,,,,,Command Discipline - B
11/25/2023,201308284,953101,Substantiated (Formalized Training),,03/28/2015,No,,,,,,Instructions
11/25/2023,202202933,972741,Substantiated (Formalized Training),Substantiated (Formalized Training),,No,,,,,,
11/25/2023,200902342,931522,Substantiated (Charges),,08/28/2010,No,,,,,,Instructions
11/25/2023,202002202,959317,Substantiated (Command Discipline A),Substantiated (Command Discipline A),02/28/2023,No,,,,,,No penalty
11/25/2023,200307469,916854,Substantiated (Charges),,01/28/2005,No,,,,,,Command Discipline - A
11/25/2023,202201236,965033,Substantiated (Command Discipline A),Substantiated (Command Discipline A),08/28/2023,No,,,,,,Command Discipline - A
11/25/2023,201307635,933693,Substantiated (Command Discipline),,02/28/2015,No,,,,,,Command Discipline - A / Formalized Training
11/25/2023,200607298,884322,Substantiated (Charges),,11/28/2007,No,,,,,,No penalty
11/25/2023,202106519,961824,Substantiated (Command Discipline B),Substantiated (Command Discipline B),03/28/2023,No,,,,,,No penalty
11/25/2023,200904056,941374,Substantiated (Command Discipline),,08/28/2010,No,,,,,,Command Discipline - B
11/25/2023,200201750,921253,Substantiated (Charges),,07/28/2003,No,,,,,,Command Discipline - A
11/25/2023,201602798,950709,Substantiated (Command Discipline A),,10/28/2017,No,,,,,,No penalty
11/25/2023,201402945,931792,Substantiated (Instructions),,09/28/2015,No,,,,,,Formalized Training
11/25/2023,201907896,959567,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/28/2021,No,,,,,,Command Discipline - A
11/25/2023,200306699,891947,Substantiated (Command Discipline),,11/28/2004,No,,,,,,Instructions
11/25/2023,202008154,951667,Substantiated (Formalized Training),Substantiated (Formalized Training),02/28/2023,No,,,,,,No penalty
11/25/2023,202203328,941282,Substantiated (Command Discipline A),Substantiated (Command Discipline A),,No,,,,,,
11/25/2023,202002402,935794,Substantiated (Command Discipline A),Substantiated (Command Discipline A),05/28/2022,No,,,,,,No penalty
11/25/2023,200309539,893267,Substantiated (Charges),,05/28/2005,No,,,,,,Instructions
11/25/2023,200207663,925359,Substantiated (Charges),,05/28/2005,No,,,,,,No penalty
11/25/2023,201905313,960959,Substantiated (Command Discipline A),,01/28/2021,No,,,,,,Command Discipline - A
11/25/2023,202001602,927779,Substantiated (Command Discipline A),Substantiated (Command Discipline B),05/28/2022,No,,,,,,No penalty
11/25/2023,202204302,942899,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201605007,954743,Substantiated (Command Discipline A),,12/28/2017,No,,,,,,Formalized Training
11/25/2023,202202413,960317,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/25/2023,No,,,,,,Command Discipline - A (Vacation: 3 days)
11/25/2023,201501004,949566,Substantiated (Command Discipline A),,12/28/2015,No,,,,,,Command Discipline - A
11/25/2023,201410021,951664,Substantiated (Command Discipline A),,03/28/2016,No,,,,,,No penalty
11/25/2023,201408586,931192,Substantiated (Command Discipline A),,02/28/2016,No,,,,,,Command Discipline - A / Command Level Instructions
11/25/2023,202004123,902105,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201210366,946632,Substantiated (Command Discipline),,09/28/2013,No,,,,,,No penalty
11/25/2023,202203473,969891,Substantiated (Formalized Training),Substantiated (Formalized Training),,No,,,,,,
11/25/2023,202103794,961082,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Closed: Resigned,05/22/2023,
11/25/2023,202001772,945375,Substantiated (Command Discipline A),Substantiated (Command Discipline A),04/28/2022,No,,,,,,Command Discipline - A
11/25/2023,200603613,917047,Substantiated (Charges),,09/28/2007,No,,,,,,
11/25/2023,202203473,954648,Substantiated (Command Discipline A),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201806532,947544,Substantiated (Command Discipline A),,02/28/2020,No,,,,,,No penalty
11/25/2023,202002258,933762,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Closed: Retired,09/13/2022,
11/25/2023,201010737,924817,Substantiated (Charges),,01/28/2013,No,,,,,,Vacation: 35 days
11/25/2023,201702421,950765,Substantiated (Formalized Training),,09/28/2018,No,,,,,,Formalized Training
11/25/2023,201704022,956170,Substantiated (Command Discipline A),,06/28/2020,No,,,,,,Command Discipline - A
11/25/2023,201607556,952004,Substantiated (Command Discipline B),,02/28/2018,No,,,,,,Command Discipline - A
11/25/2023,200908276,909777,Substantiated (Charges),,11/28/2010,No,,,,,,Instructions
11/25/2023,201506977,920064,Substantiated (Command Discipline B),,,No,,,,,,
11/25/2023,201802003,962410,Substantiated (Command Lvl Instructions),,08/28/2019,No,,,,,,No penalty
11/25/2023,200203285,904007,Substantiated (Charges),,09/28/2003,No,,,,,,Command Discipline - B
11/25/2023,201801835,941561,Substantiated (Charges),,,Yes,,,Forfeit vacation 16 days,Closed: Resolved by plea,07/13/2023,Forfeit vacation 16 days
11/25/2023,202003525,955500,Substantiated (Command Discipline B),Substantiated (Charges),,Yes,,,,Closed: Charges not served,07/15/2023,
11/25/2023,200507523,927914,Substantiated (Charges),,12/28/2006,No,,,,,,Command Discipline - A
11/25/2023,202003791,965766,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,202106151,968653,Substantiated (Command Discipline A),Substantiated (Command Discipline A),10/31/2023,No,,,,,,Command Discipline - A
11/25/2023,202004993,961074,Substantiated (Command Discipline A),Substantiated (Command Discipline A),04/28/2022,No,,,,,,Command Discipline - A
11/25/2023,201309660,919057,Substantiated (Command Discipline),,04/28/2015,No,,,,,,Command Discipline - A
11/25/2023,202004301,943830,Substantiated (Charges),Substantiated (Charges),,Yes,,,,"Closed: Retained, with discipline",12/23/2022,Forfeit vacation 10 days
11/25/2023,200304421,925768,Substantiated (Charges),,09/28/2005,No,,,,,,No penalty
11/25/2023,202100617,961531,Substantiated (Charges),Substantiated (Charges),,Yes,,,,Pending,,APU - Decision Pending
11/25/2023,201310547,939039,Substantiated (Charges),,,Yes,Dismissal Probation,Forfeit vacation 25 days,,Closed: Guilty after trial,07/28/2016,Forfeit vacation 25 days
11/25/2023,201701267,946684,Substantiated (Charges),,,Yes,,,Forfeit vacation 25 days,Closed: Resolved by plea,05/13/2020,Forfeit vacation 15 days
11/25/2023,201502795,954128,Substantiated (Formalized Training),,04/28/2016,No,,,,,,Formalized Training / Command Level Instructions
11/25/2023,202102785,932472,Substantiated (Command Discipline A),Substantiated (Command Discipline B),11/28/2022,No,,,,,,No penalty
11/25/2023,201803699,948023,Substantiated (Command Discipline A),,10/28/2019,No,,,,,,Command Discipline - A
11/25/2023,202105454,950050,Substantiated (Formalized Training),Substantiated (Formalized Training),07/28/2023,No,,,,,,Formalized Training
11/25/2023,200303520,887193,Substantiated (Charges),,05/28/2005,No,,,,,,Vacation: 21 days
11/25/2023,201500911,951205,Substantiated (Formalized Training),,04/28/2016,No,,,,,,Formalized Training / Command Level Instructions
11/25/2023,201309919,911453,Substantiated (Command Discipline),,04/28/2015,No,,,,,,No penalty
11/25/2023,200408124,926885,Substantiated (Charges),,11/28/2006,No,,,,,,
